Dataset,GAN,WGAN-GP,cWGAN-GP,CTGAN
CICIDS2017,1007.6473276615144,223.1394045352936,281.11840748786926,450.4495611190796
IoT-23,953.54394698143,225.30580496788025,262.882691860199,143.06850004196167
UNSW-NB15,955.7487814426422,223.94226241111755,275.48257279396057,262.89713859558105
