Dataset,Modelo,Cenario,FN,FN_lo,FN_hi,FP,F1,F1_lo,F1_hi,RecAte,RecAte_lo,RecAte_hi
IoT-23,MLP,cWGAN-GP,882,837,927,235,0.6959,0.6864,0.705,0.5917,0.5708,0.6125
IoT-23,MLP,CTGAN,699,657,742,31,0.8001,0.7947,0.8052,0.6764,0.6565,0.6958
IoT-23,XGBoost,Original (sem balancear),273,243,304,4,0.9316,0.9302,0.9329,0.8736,0.8593,0.8875
IoT-23,XGBoost,SMOTETomek,272,242,302,25,0.9271,0.9245,0.9295,0.8741,0.8602,0.888
IoT-23,XGBoost,GAN+MLP,277,247,308,4,0.9306,0.9291,0.9319,0.8718,0.8574,0.8856
IoT-23,XGBoost,WGAN-GP,278,248,309,3,0.9305,0.9292,0.9318,0.8713,0.8569,0.8852
IoT-23,XGBoost,cWGAN-GP,278,248,309,2,0.9308,0.9295,0.9319,0.8713,0.8569,0.8852
IoT-23,XGBoost,CTGAN,277,247,308,4,0.9306,0.9291,0.9319,0.8718,0.8574,0.8856
IoT-23,RandomForest,Original (sem balancear),269,239,299,139,0.9026,0.8974,0.9077,0.8755,0.8616,0.8894
IoT-23,RandomForest,SMOTETomek,255,226,285,413,0.8508,0.8431,0.8584,0.8819,0.8681,0.8954
IoT-23,RandomForest,GAN+MLP,269,239,299,133,0.9039,0.8988,0.9089,0.8755,0.8616,0.8894
IoT-23,RandomForest,WGAN-GP,268,238,298,133,0.9042,0.8991,0.9091,0.8759,0.862,0.8898
IoT-23,RandomForest,cWGAN-GP,269,239,300,134,0.9037,0.8986,0.9087,0.8755,0.8611,0.8894
IoT-23,RandomForest,CTGAN,269,239,299,134,0.9037,0.8986,0.9087,0.8755,0.8616,0.8894
IoT-23,LSTM,Original (sem balancear),1190,1145,1235,67,0.6068,0.595,0.618,0.4491,0.4282,0.4699
IoT-23,LSTM,SMOTETomek,700,657,743,194,0.7656,0.7579,0.773,0.6759,0.656,0.6958
IoT-23,LSTM,GAN+MLP,554,515,594,2840,0.4862,0.4772,0.4952,0.7435,0.725,0.7616
IoT-23,LSTM,WGAN-GP,698,656,741,114,0.7827,0.7759,0.7891,0.6769,0.6569,0.6963
IoT-23,LSTM,cWGAN-GP,702,660,745,303,0.7437,0.7351,0.752,0.675,0.6551,0.6944
IoT-23,LSTM,CTGAN,833,789,877,200,0.7198,0.711,0.7282,0.6144,0.594,0.6347
